127.0.0.1 - - [04/Jun/2016:14:23:00 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:23:52 +0530] "GET /messenger/webapi/injectdemo/annotations HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:23:52 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:33:16 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti&country=india HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:33:43 +0530] "GET /messenger/webapi/injectdemo/annotations?country=india&author=supriti HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:35:36 +0530] "GET /messenger/webapi/injectdemo/annotations?country=india&author=supriti;surname=dan HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:35:56 +0530] "GET /messenger/webapi/injectdemo/annotations?country=india&author=supritisurname=dan HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:36:24 +0530] "GET /messenger/webapi/injectdemo/annotations?country=india&author=supriti;surname=dan HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:36:52 +0530] "GET /messenger/webapi/injectdemo/annotations?country=india&author=supriti;surname=dan HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:36:53 +0530] "GET /messenger/webapi/injectdemo/annotations?country=india&author=supriti;surname=dan HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:37:04 +0530] "GET /messenger/webapi/injectdemo/annotations?country=india;author=supriti;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:37:25 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:37:29 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:37:30 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:37:42 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:38:11 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:38:11 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:38:12 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:38:12 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:38:12 +0530] "GET /messenger/webapi/injectdemo/annotations?author=supriti;country=india;surname=dan HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:39:25 +0530] "GET /messenger/webapi/injectdemo/annotations;author=supriti;country=india HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:39:39 +0530] "GET /messenger/webapi/injectdemo/annotations;author=supriti;country=india HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:39:40 +0530] "GET /messenger/webapi/injectdemo/annotations;author=supriti;country=india HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:45:32 +0530] "GET /messenger/webapi/injectdemo/annotations;author=supriti;country=india HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:52:53 +0530] "GET /messenger/webapi/injectdemo/annotations;author=supriti;country=india HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [04/Jun/2016:14:53:09 +0530] "GET /messenger/webapi/injectdemo/annotations;author=supriti;country=india HTTP/1.1" 200 93
